site_no,station_nm,site_type,lat,lon
040871488,"WILSON PARK CK @ ST. LUKES HOSPITAL @ MILWAUKEE,WI",ST,42.99025,-87.9523333
04087159,"KINNICKINNIC RIVER @ S. 11TH STREET @ MILWAUKEE,WI",ST,42.9975,-87.92638889
040871602,"KINNICKINNIC RIVER AT 6TH ST. AT MILWAUKEE, WI",ST,42.9950149,-87.9186955
04087161,"KINNICKINNIC RIVER AT S. 1ST ST AT MILWAUKEE, WI",ST,43.00834795,-87.9111955
04087170,"MILWAUKEE RIVER AT MOUTH AT MILWAUKEE, WI",ST,43.02444444,-87.8983333
04087200,"OAK CREEK NEAR SOUTH MILWAUKEE, WI",ST,42.8814058,-87.8925815
04087204,"OAK CREEK AT SOUTH MILWAUKEE, WI",ST,42.925,-87.87
040872118,"ROOT RIVER AT WEST ALLIS, WI",ST,42.9939722,-88.0606944
040872125,"ROOT RIVER AT BELOIT ROAD AT GREENFIELD, WI",ST,42.97369444,-88.0508333
04087213,"ROOT RIVER AT LAYTON AVENUE AT GREENFIELD, WI",ST,42.95888889,-88.04
04087233,"ROOT RIVER CANAL NEAR FRANKLIN, WI",ST,42.81555556,-87.9947222
04087240,"ROOT RIVER AT RACINE, WI",ST,42.751389,-87.823611
04087242,"ROOT RIVER NEAR MOUTH AT RACINE, WI",ST,42.7339086,-87.7845191
05331833,"NAMEKAGON RIVER AT LEONARDS, WI",ST,46.1713687,-91.3293778
05333500,"ST. CROIX RIVER NEAR DANBURY, WI",ST,46.0761111,-92.2466667
05338955,"WOOD RIVER @ NORTH WILLIAMS ROAD NR GRANTSBURG, WI",ST,45.78522979,-92.6313137
05340500,"ST. CROIX RIVER AT ST. CROIX FALLS, WI",ST,45.4069444,-92.6469444
053416972,"WILLOW RIVER @ COUNTY TRUNK HIGHWAY T AT JEWETT,WI",ST,45.12002778,-92.4363056
05341854,"KINNICKINNIC RIVER AT STEEPLE DRIVE NR HAMMOND, WI",ST,44.92277778,-92.5316667
05357205,"ALLEQUASH CREEK NEAR SAYNER, WI",ST,46.0308444,-89.5993944
05357206,"ALLEQUASH CREEK SITE NO. 3 NR BOULDER JUNCTION, WI",ST,46.03277778,-89.6077778
05357215,"ALLEQUASH CREEK @ CT HWY M NR BOULDER JUNCTION, WI",ST,46.02388889,-89.6527778
05357225,"STEVENSON CREEK @ CT HWY M NR BOULDER JUNCTION, WI",ST,46.06138889,-89.6472222
05357230,"NORTH CREEK AT TROUT LAKE NEAR BOULDER JUNCTION,WI",ST,46.0786111,-89.6672222
05357245,"TROUT RIVER AT TROUT LAKE NEAR BOULDER JUNCTION,WI",ST,46.03555556,-89.7055556
05364128,"DRYWOOD CREEK AT COVERED FOOTBRIDGE NR CADOTT, WI",ST,44.9622,-91.230175
