station_id,station_name,lat,lon
45217,Wisconsin Point (NDBC),46.708,-92.000
45028,Western Lake Superior (NDBC),46.814,-91.829
45027,McQuade Harbor Nearshore MN (NDBC),46.860,-91.930
DULM5,Duluth MN Harbor (NOS/NDBC),46.776,-92.092
