#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2018 05 23 03 50 257  2.8  3.1  0.09 99.00  2.83 999 1019.5   5.0   4.0 999.0 99.0 99.00
2018 05 23 04 50 265  1.1  1.5  0.06 99.00  2.73 999 1019.7   5.0   3.9 999.0 99.0 99.00
2018 05 23 05 50 194  1.4  1.7  0.07 99.00  2.73 999 1019.9   4.7   3.9 999.0 99.0 99.00
2018 05 23 06 50 189  1.8  2.1  0.07 99.00  2.72 999 1020.3   4.6   3.8 999.0 99.0 99.00
2018 05 23 07 50 222  2.7  3.5  0.06 99.00  2.74 999 1020.3   5.8   3.8 999.0 99.0 99.00
2018 05 23 08 50 224  2.0  2.2  0.05 99.00  2.70 999 1020.8   5.6   3.8 999.0 99.0 99.00
2018 05 23 09 50 188  3.1  3.4  0.05 99.00  2.67 999 1021.2   5.4   3.7 999.0 99.0 99.00
2018 05 23 10 50 172  2.0  2.2  0.04 99.00  2.74 999 1021.8   5.5   3.7 999.0 99.0 99.00
2018 05 23 11 50 170  2.5  2.8  0.12 99.00  3.44 999 1022.7   4.8   3.7 999.0 99.0 99.00
2018 05 23 12 50 180  3.4  3.8  0.05 99.00  2.98 999 1023.1   5.1   3.8 999.0 99.0 99.00
2018 05 23 13 50 192  2.6  3.2  0.05 99.00  3.51 999 1023.6   5.0   3.8 999.0 99.0 99.00
2018 05 23 14 50 182  1.5  1.9  0.05 99.00  4.13 999 1023.6   5.1   3.9 999.0 99.0 99.00
2018 05 23 15 50 183  2.1  2.4  0.04 99.00  3.53 999 1023.7   5.2   4.0 999.0 99.0 99.00
2018 05 23 16 50 166  2.4  2.6  0.03 99.00  3.02 999 1023.9   5.7   4.1 999.0 99.0 99.00
2018 05 23 17 50 179  1.4  1.8  0.03 99.00  3.39 999 1024.0   5.8   4.2 999.0 99.0 99.00
2018 05 23 18 50 168  1.4  1.7  0.06 99.00  4.80 999 1023.9   6.1   4.2 999.0 99.0 99.00
2018 05 23 19 50 132  1.5  1.7  0.03 99.00  3.31 999 1023.5   6.8   4.5 999.0 99.0 99.00
2018 05 23 20 50 152  2.0  2.1  0.03 99.00  3.35 999 1022.8   7.6   4.3 999.0 99.0 99.00
2018 05 23 21 50 144  2.0  2.2  0.06 99.00  3.65 999 1022.5   8.5   4.5 999.0 99.0 99.00
2018 05 23 22 50 120  0.9  1.0  0.05 99.00  3.62 999 1022.3   9.3   4.2 999.0 99.0 99.00
2018 05 23 23 50  88  2.5  2.8  0.04 99.00  3.59 999 1022.2   9.4   4.1 999.0 99.0 99.00
2018 05 24 00 50  75  2.4  2.8  0.06 99.00  4.06 999 1022.2   7.9   4.1 999.0 99.0 99.00
2018 05 24 01 50  86  2.3  2.5  0.05 99.00  3.95 999 1022.5   8.2   4.1   8.1 99.0 99.00
2018 05 24 02 50 106  2.8  3.0  0.03 99.00  3.22 999 1022.8   8.8   4.0   8.7 99.0 99.00
2018 05 24 03 50 113  3.0  3.2  0.04 99.00  3.26 999 1022.8   9.7   4.0   9.2 99.0 99.00
2018 05 24 04 50 138  2.9  3.0  0.03 99.00  3.25 999 1022.9  10.6   3.9   9.6 99.0 99.00
2018 05 24 05 50 128  3.0  3.2  0.04 99.00  3.31 999 1022.9   9.5   3.8   9.1 99.0 99.00
2018 05 24 06 50 134  3.1  3.5  0.03 99.00  2.96 999 1022.3   9.6   3.8   9.1 99.0 99.00
2018 05 24 07 50 143  3.5  4.0  0.06 99.00  4.36 999 1022.1  10.1   3.8   9.5 99.0 99.00
