#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 04 23 23 50  25  4.4  5.3  0.13 99.00  4.33 999 1018.5   5.2   5.8   4.6 99.0 99.00
2017 04 24 00 50  23  4.0  4.6  0.20 99.00  2.48 999 1018.8   4.8   5.4   4.2 99.0 99.00
2017 04 24 01 50  23  3.0  3.6  0.39  4.17  3.33 349 1019.1   4.7   5.1   4.2 99.0 99.00
2017 04 24 02 50  30  2.9  3.3  0.65  5.26  4.21 358 1018.8   4.6   4.8   4.1 99.0 99.00
2017 04 24 03 50 360  2.2  2.5  0.90  5.88  4.79  11 1018.3   4.6   4.7   4.2 99.0 99.00
2017 04 24 04 50 355  2.5  3.1  0.91  5.88  4.95  23 1018.1   4.6   4.6   4.2 99.0 99.00
2017 04 24 05 50 355  3.5  4.5  0.88  6.25  4.98  26 1018.3   4.5   4.6   4.0 99.0 99.00
2017 04 24 06 50  25  2.6  3.2  0.87  6.25  5.07  17 1017.7   4.4   4.6   4.0 99.0 99.00
2017 04 24 07 50  32  1.7  2.3  0.80  6.67  4.76  17 1017.4   4.5   4.6   4.2 99.0 99.00
2017 04 24 08 50 349  1.3  1.6  0.75  6.67  4.80  29 1017.1   4.6   4.6   4.3 99.0 99.00
2017 04 24 09 50  25  2.3  2.6  0.83  6.25  4.98  17 1017.2   4.8   4.6   4.3 99.0 99.00
2017 04 24 10 50  51  3.4  3.7  0.69  6.25  4.77   6 1017.1   5.7   4.6   4.7 99.0 99.00
2017 04 24 11 50  53  3.7  4.1  0.59  5.26  4.48 358 1017.5   5.7   4.6   4.8 99.0 99.00
2017 04 24 12 50  57  3.4  3.9  0.61  5.88  4.70 358 1018.0   5.7   4.7   4.8 99.0 99.00
2017 04 24 13 50  65  3.5  3.9  0.55  5.88  4.59 350 1017.8   5.7   4.7   5.0 99.0 99.00
2017 04 24 14 50  85  3.3  3.8  0.50  5.88  4.54 347 1017.7   5.8   4.8   5.1 99.0 99.00
2017 04 24 15 50  94  3.3  3.7  0.41  5.26  4.33 339 1017.0   6.2   4.9   5.1 99.0 99.00
2017 04 24 16 50  94  1.8  2.2  0.43  5.26  4.06 337 1016.6   6.6   5.0   5.1 99.0 99.00
2017 04 24 17 50  54  0.9  1.1  0.42  5.26  3.82 343 1015.9   7.5   5.4   5.3 99.0 99.00
2017 04 24 18 50  52  1.6  1.8  0.42  5.00  3.74 353 1014.8   8.0   5.9   5.6 99.0 99.00
2017 04 24 19 50  33  2.2  2.4  0.36  3.23  3.69  60 1013.7   8.6   6.3   6.0 99.0 99.00
2017 04 24 20 50  22  2.5  2.8  0.34  4.55  3.82   8 1012.7   8.7   6.3   6.0 99.0 99.00
2017 04 24 21 50  32  2.6  2.9  0.31  4.76  3.88   5 1011.8   9.1   6.3   5.9 99.0 99.00
2017 04 24 22 50  27  2.6  2.7  0.30  4.76  4.03   6 1011.0  10.2   6.4   4.9 99.0 99.00
2017 04 24 23 50  27  2.6  2.8  0.30  5.00  4.24   9 1010.4   9.2   6.1   5.3 99.0 99.00
2017 04 25 00 50  54  3.1  3.3  0.28  4.76  4.28   1 1009.6   8.9   6.1   4.9 99.0 99.00
2017 04 25 01 50  71  4.2  4.7  0.24 99.00  4.26 999 1009.4   9.3   5.8   3.6 99.0 99.00
2017 04 25 02 50  94  4.8  5.2  0.24 99.00  4.14 999 1009.3   9.5   5.3   3.8 99.0 99.00
2017 04 25 03 50  98  4.1  4.5  0.25 99.00  3.77 999 1009.3   8.9   5.1   4.1 99.0 99.00
2017 04 25 04 50  95  3.9  4.2  0.22 99.00  3.45 999 1009.2   8.3   5.1   4.4 99.0 99.00
2017 04 25 05 50 100  4.0  4.7  0.21 99.00  3.62 999 1009.0   8.8   5.1   4.1 99.0 99.00
2017 04 25 06 50  97  4.2  4.7  0.18 99.00  3.28 999 1008.7   8.2   5.0   4.2 99.0 99.00
2017 04 25 07 50 100  4.8  5.5  0.21 99.00  2.94 999 1008.2   7.9   5.0   4.6 99.0 99.00
2017 04 25 08 50 100  5.4  6.2 99.00 99.00 99.00 999 1007.9   7.9   5.0   5.2 99.0 99.00
2017 04 25 09 50 101  5.6  6.3  0.27  2.74  2.77 102 1007.7   7.7   5.0   5.5 99.0 99.00
2017 04 25 10 50  97  6.6  7.6  0.36  2.74  2.79 108 1007.3   7.6   4.9   5.9 99.0 99.00
2017 04 25 11 50 101  5.8  6.6  0.40  3.03  2.94 102 1007.4   7.5   4.9   6.1 99.0 99.00
2017 04 25 12 50 104  6.1  6.8  0.41  3.33  3.00  96 1007.4   7.6   4.9   6.3 99.0 99.00
2017 04 25 13 50 115  6.1  6.8  0.46  3.23  2.97 100 1007.1   7.6   4.9   6.7 99.0 99.00
2017 04 25 14 50 122  5.5  6.2  0.43  3.23  3.05 106 1007.0   7.7   4.9   6.8 99.0 99.00
2017 04 25 15 50 131  4.9  5.5  0.37  3.33  2.99 117 1006.9   7.9   5.0   7.0 99.0 99.00
2017 04 25 16 50 131  4.2  4.6  0.32  3.23  2.97 112 1006.8   8.1   5.1   7.2 99.0 99.00
2017 04 25 17 50 120  4.5  4.8  0.30  3.03  3.02 114 1006.2   8.4   5.1   7.3 99.0 99.00
2017 04 25 18 50 112  4.1  4.4  0.26  3.13  2.95 132 1005.5   8.7   5.2   7.5 99.0 99.00
2017 04 25 19 50 107  3.5  3.7  0.23 99.00  2.98 999 1005.1   8.7   5.3   7.4 99.0 99.00
2017 04 25 20 50  93  2.8  3.5  0.21 99.00  2.92 999 1004.5   9.1   5.4   7.6 99.0 99.00
2017 04 25 21 50  74  5.2  5.6  0.20 99.00  2.94 999 1002.7   9.6   5.4   8.1 99.0 99.00
2017 04 25 22 50  72  4.6  4.9  0.16 99.00  2.96 999 1002.5   9.6   5.4   8.0 99.0 99.00
2017 04 25 23 50  70  5.1  6.2  0.17 99.00  3.06 999 1002.5   9.7   5.3   7.9 99.0 99.00
2017 04 26 00 50  67  5.1  5.6  0.16 99.00  3.01 999 1002.4   9.4   5.3   7.9 99.0 99.00
2017 04 26 01 50  77  5.0  5.4  0.14 99.00  2.91 999 1002.7   9.6   5.3   7.7 99.0 99.00
2017 04 26 02 50  73  4.8  5.0  0.14 99.00  2.88 999 1002.8   9.8   5.3   8.0 99.0 99.00
2017 04 26 03 50  78  4.8  5.4  0.12 99.00  2.85 999 1002.7   9.5   5.3   8.0 99.0 99.00
2017 04 26 04 50  72  5.0  5.4  0.14 99.00  2.50 999 1002.3   9.2   5.3   7.8 99.0 99.00
2017 04 26 05 50  91  6.3  6.8  0.15 99.00  2.33 999 1001.7   9.6   5.2   8.3 99.0 99.00
2017 04 26 06 50 105  6.3  7.0  0.20 99.00  2.38 999 1001.0   9.8   5.2   8.5 99.0 99.00
2017 04 26 07 50 107  6.5  7.2  0.28  2.47  2.55 111 1000.1   9.5   5.2   8.4 99.0 99.00
2017 04 26 08 50 115  5.7  6.3  0.29  2.74  2.66 107 1000.2   8.9   5.2   8.1 99.0 99.00
2017 04 26 09 50 115  6.3  7.6  0.35  2.86  2.74 117  999.6   8.8   5.2   8.0 99.0 99.00
2017 04 26 10 50 120  6.0  6.7  0.38  2.94  2.93 124  999.2   8.6   5.1   7.9 99.0 99.00
2017 04 26 11 50 118  6.4  7.2  0.42  3.23  2.96 135  998.9   8.8   5.1   8.1 99.0 99.00
2017 04 26 12 50 130  6.6  7.3  0.46  3.57  3.06 134  999.3   8.7   5.1   8.1 99.0 99.00
2017 04 26 13 50 113  6.6  7.5  0.52  3.57  3.16 138  997.6   8.8   5.1   8.0 99.0 99.00
2017 04 26 14 50 129  6.7  7.5  0.57  3.57  3.26 131  997.1   9.5   5.1   8.5 99.0 99.00
2017 04 26 15 50 124  5.3  5.9  0.62  3.70  3.35 130  997.0   9.2   5.1   8.1 99.0 99.00
2017 04 26 16 50 165  6.0  6.7  0.55  3.57  3.33 125  997.5   9.3   5.2   8.2 99.0 99.00
2017 04 26 17 50 170  5.0  6.7  0.52  3.85  3.40 127  997.6   9.3   5.2   8.3 99.0 99.00
2017 04 26 18 50 217  3.7  4.2  0.41  3.85  3.20 138  998.1  10.0   5.2   8.7 99.0 99.00
2017 04 26 19 50 197  3.5  4.0  0.34  3.70  3.19 147  998.6   9.4   5.4   8.3 99.0 99.00
2017 04 26 20 50 237  4.5  4.8  0.33  3.70  3.17 147  998.2  10.7   5.5   9.0 99.0 99.00
2017 04 26 21 50 170  4.2  4.8  0.31  3.57  3.33 147  998.7   9.8   5.5   8.3 99.0 99.00
2017 04 26 22 50 163  4.0  4.4  0.25  3.45  3.07 150  998.8   9.7   5.6   8.0 99.0 99.00
2017 04 26 23 50 162  3.6  3.8  0.23 99.00  3.08 999  998.1  10.0   5.6   8.2 99.0 99.00
2017 04 27 00 50 145  2.3  2.9  0.19 99.00  3.01 999  997.6   9.9   5.6   8.2 99.0 99.00
2017 04 27 01 50 239  1.8  2.0  0.20 99.00  3.09 999  997.7  10.3   5.6   8.6 99.0 99.00
2017 04 27 02 50 184  2.0  2.2  0.22 99.00  3.10 999  998.0  10.2   5.6   8.8 99.0 99.00
2017 04 27 03 50 183  2.6  3.1  0.26  3.70  3.28 162  998.4   8.7   5.6   8.6 99.0 99.00
2017 04 27 04 50 132  0.9  1.1  0.20 99.00  3.11 999  997.4  10.9   5.6  10.9 99.0 99.00
2017 04 27 05 50 109  2.5  2.8  0.17 99.00  3.01 999  997.2   8.2   5.6   8.2 99.0 99.00
2017 04 27 06 50  94  3.9  4.3  0.12 99.00  3.00 999  996.0   8.6   5.6   8.6 99.0 99.00
2017 04 27 07 50 104  4.4  4.8  0.11 99.00  2.91 999  994.8   8.9   5.6   8.9 99.0 99.00
2017 04 27 08 50 118  5.5  6.4  0.10 99.00  2.92 999  994.4   8.4   5.6   8.4 99.0 99.00
2017 04 27 09 50 121  6.1  6.9  0.18 99.00  2.41 999  993.5   9.0   5.4   9.0 99.0 99.00
2017 04 27 10 50 109  6.5  7.7  0.29  2.60  2.59 128  992.4   8.5   5.4   8.5 99.0 99.00
