waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Lake Winnebago,04082500,2023-05-01,2.90,A
Lake Winnebago,04082500,2023-05-02,2.99,A
Lake Winnebago,04082500,2023-05-03,2.99,A
Lake Winnebago,04082500,2023-05-04,2.96,A
Lake Winnebago,04082500,2023-05-05,2.91,A
Lake Winnebago,04082500,2023-05-06,2.91,A
Lake Winnebago,04082500,2023-05-07,2.90,A
Lake Winnebago,04082500,2023-05-08,2.92,A
Lake Winnebago,04082500,2023-05-09,2.93,A
Lake Winnebago,04082500,2023-05-10,2.93,A
Lake Winnebago,04082500,2023-05-11,2.92,A
Lake Winnebago,04082500,2023-05-12,2.91,A
Lake Winnebago,04082500,2023-05-13,2.92,A
Lake Winnebago,04082500,2023-05-14,2.89,A
Lake Winnebago,04082500,2023-05-15,2.86,A
Lake Winnebago,04082500,2023-05-16,2.86,A
Lake Winnebago,04082500,2023-05-17,2.86,A
Lake Winnebago,04082500,2023-05-18,2.84,A
Lake Winnebago,04082500,2023-05-19,2.80,A
Lake Winnebago,04082500,2023-05-20,2.85,A
Lake Winnebago,04082500,2023-05-21,2.85,A
Lake Winnebago,04082500,2023-05-22,2.84,A
Lake Winnebago,04082500,2023-05-23,2.85,A
Lake Winnebago,04082500,2023-05-24,2.91,A
Lake Winnebago,04082500,2023-05-25,2.85,A
Lake Winnebago,04082500,2023-05-26,2.87,A
Lake Winnebago,04082500,2023-05-27,2.90,A
Lake Winnebago,04082500,2023-05-28,2.93,A
Lake Winnebago,04082500,2023-05-29,2.96,A
Lake Winnebago,04082500,2023-05-30,2.98,A
Lake Winnebago,04082500,2023-05-31,3.01,A
Lake Winnebago,04082500,2023-06-01,3.04,A
Lake Winnebago,04082500,2023-06-02,3.06,A
Lake Winnebago,04082500,2023-06-03,3.08,A
Lake Winnebago,04082500,2023-06-04,3.07,A
Lake Winnebago,04082500,2023-06-05,3.07,A
Lake Winnebago,04082500,2023-06-06,3.09,A
Lake Winnebago,04082500,2023-06-07,3.07,A
Lake Winnebago,04082500,2023-06-08,3.04,A
Lake Winnebago,04082500,2023-06-09,3.03,A
Lake Winnebago,04082500,2023-06-10,3.05,A
Lake Winnebago,04082500,2023-06-11,3.09,A
Lake Winnebago,04082500,2023-06-12,3.04,A
Lake Winnebago,04082500,2023-06-13,3.07,A
Lake Winnebago,04082500,2023-06-14,3.13,A
Lake Winnebago,04082500,2023-06-15,3.15,A
Lake Winnebago,04082500,2023-06-16,3.14,A
Lake Winnebago,04082500,2023-06-17,3.14,A
Lake Winnebago,04082500,2023-06-18,3.13,A
Lake Winnebago,04082500,2023-06-19,3.13,A
Lake Winnebago,04082500,2023-06-20,3.14,A
Lake Winnebago,04082500,2023-06-21,3.13,A
Lake Winnebago,04082500,2023-06-22,3.13,A
Lake Winnebago,04082500,2023-06-23,3.12,A
Lake Winnebago,04082500,2023-06-24,3.10,A
Lake Winnebago,04082500,2023-06-25,3.08,A
Lake Winnebago,04082500,2023-06-26,3.11,A
Lake Winnebago,04082500,2023-06-27,3.11,A
Lake Winnebago,04082500,2023-06-28,3.08,A
Lake Winnebago,04082500,2023-06-29,3.06,A
Lake Winnebago,04082500,2023-06-30,3.08,A
Lake Winnebago,04082500,2023-07-01,3.08,A
Lake Winnebago,04082500,2023-07-02,3.09,A
Lake Winnebago,04082500,2023-07-03,3.07,A
Lake Winnebago,04082500,2023-07-04,3.05,A
Lake Winnebago,04082500,2023-07-05,3.05,A
Lake Winnebago,04082500,2023-07-06,3.06,A
Lake Winnebago,04082500,2023-07-07,3.04,A
Lake Winnebago,04082500,2023-07-08,3.02,A
Lake Winnebago,04082500,2023-07-09,3.01,A
Lake Winnebago,04082500,2023-07-10,2.97,A
Lake Winnebago,04082500,2023-07-11,2.97,A
Lake Winnebago,04082500,2023-07-12,2.96,A
Lake Winnebago,04082500,2023-07-13,2.96,A
Lake Winnebago,04082500,2023-07-14,2.95,A
Lake Winnebago,04082500,2023-07-15,2.95,A
