waterbody,usgs_site_no,date,gage_height_ft,qualifiers
Geneva Lake,423525088260400,2023-06-08,2.44,A
Geneva Lake,423525088260400,2023-06-09,2.44,A
Geneva Lake,423525088260400,2023-06-10,2.43,A
Geneva Lake,423525088260400,2023-06-11,2.40,A
Geneva Lake,423525088260400,2023-06-12,2.41,A
Geneva Lake,423525088260400,2023-06-13,2.42,A
Geneva Lake,423525088260400,2023-06-14,2.43,A
Geneva Lake,423525088260400,2023-06-15,2.43,A
Geneva Lake,423525088260400,2023-06-16,2.41,A
Geneva Lake,423525088260400,2023-06-17,2.41,A
Geneva Lake,423525088260400,2023-06-18,2.40,A
Geneva Lake,423525088260400,2023-06-19,2.40,A
Geneva Lake,423525088260400,2023-06-20,2.39,A
Geneva Lake,423525088260400,2023-06-21,2.39,A
Geneva Lake,423525088260400,2023-06-22,2.38,A
Geneva Lake,423525088260400,2023-06-23,2.38,A
Geneva Lake,423525088260400,2023-06-24,2.37,A
Geneva Lake,423525088260400,2023-06-25,2.45,A
Geneva Lake,423525088260400,2023-06-26,2.43,A
Geneva Lake,423525088260400,2023-06-27,2.40,A
Geneva Lake,423525088260400,2023-06-28,2.40,A
Geneva Lake,423525088260400,2023-06-29,2.39,A
Geneva Lake,423525088260400,2023-06-30,2.40,A
Geneva Lake,423525088260400,2023-07-01,2.40,A
Geneva Lake,423525088260400,2023-07-02,2.39,A
Geneva Lake,423525088260400,2023-07-03,2.39,A
Geneva Lake,423525088260400,2023-07-04,2.40,A
Geneva Lake,423525088260400,2023-07-05,2.40,A
Geneva Lake,423525088260400,2023-07-06,2.40,A
Geneva Lake,423525088260400,2023-07-07,2.39,A
Geneva Lake,423525088260400,2023-07-08,2.37,A
Geneva Lake,423525088260400,2023-07-09,2.37,A
Geneva Lake,423525088260400,2023-07-10,2.36,A
Geneva Lake,423525088260400,2023-07-11,2.33,A
Geneva Lake,423525088260400,2023-07-12,2.32,A
Geneva Lake,423525088260400,2023-07-13,2.34,A
Geneva Lake,423525088260400,2023-07-14,2.35,A
Geneva Lake,423525088260400,2023-07-15,2.34,A
Geneva Lake,423525088260400,2023-07-16,2.34,A
Geneva Lake,423525088260400,2023-07-17,2.33,A
Geneva Lake,423525088260400,2023-07-18,2.31,A
Geneva Lake,423525088260400,2023-07-19,2.31,A
Geneva Lake,423525088260400,2023-07-20,2.30,A
Geneva Lake,423525088260400,2023-07-21,2.28,A
Geneva Lake,423525088260400,2023-07-22,2.29,A
Geneva Lake,423525088260400,2023-07-23,2.34,A
Geneva Lake,423525088260400,2023-07-24,2.33,A
Geneva Lake,423525088260400,2023-07-25,2.32,A
Geneva Lake,423525088260400,2023-07-26,2.34,A
Geneva Lake,423525088260400,2023-07-27,2.35,A
Geneva Lake,423525088260400,2023-07-28,2.37,A
Geneva Lake,423525088260400,2023-07-29,2.44,A
Geneva Lake,423525088260400,2023-07-30,2.42,A
Geneva Lake,423525088260400,2023-07-31,2.41,A
Geneva Lake,423525088260400,2023-08-01,2.41,A
Geneva Lake,423525088260400,2023-08-02,2.40,A
Geneva Lake,423525088260400,2023-08-03,2.40,A
Geneva Lake,423525088260400,2023-08-04,2.37,A
Geneva Lake,423525088260400,2023-08-05,2.35,A
Geneva Lake,423525088260400,2023-08-06,2.34,A
Geneva Lake,423525088260400,2023-08-07,2.33,A
Geneva Lake,423525088260400,2023-08-08,2.33,A
Geneva Lake,423525088260400,2023-08-09,2.31,A
Geneva Lake,423525088260400,2023-08-10,2.30,A
Geneva Lake,423525088260400,2023-08-11,2.31,A
Geneva Lake,423525088260400,2023-08-12,2.33,A
Geneva Lake,423525088260400,2023-08-13,2.32,A
Geneva Lake,423525088260400,2023-08-14,2.35,A
Geneva Lake,423525088260400,2023-08-15,2.42,A
Geneva Lake,423525088260400,2023-08-16,2.41,A
Geneva Lake,423525088260400,2023-08-17,2.43,A
Geneva Lake,423525088260400,2023-08-18,2.41,A
Geneva Lake,423525088260400,2023-08-19,2.40,A
Geneva Lake,423525088260400,2023-08-20,2.39,A
Geneva Lake,423525088260400,2023-08-21,2.38,A
Geneva Lake,423525088260400,2023-08-22,2.38,A
Geneva Lake,423525088260400,2023-08-23,2.40,A
Geneva Lake,423525088260400,2023-08-24,2.41,A
Geneva Lake,423525088260400,2023-08-25,2.40,A
Geneva Lake,423525088260400,2023-08-26,2.38,A
Geneva Lake,423525088260400,2023-08-27,2.36,A
Geneva Lake,423525088260400,2023-08-28,2.36,A
Geneva Lake,423525088260400,2023-08-29,2.35,A
Geneva Lake,423525088260400,2023-08-30,2.32,A
Geneva Lake,423525088260400,2023-08-31,2.30,A
Geneva Lake,423525088260400,2023-09-01,2.30,A
Geneva Lake,423525088260400,2023-09-02,2.29,A
Geneva Lake,423525088260400,2023-09-03,2.28,A
Geneva Lake,423525088260400,2023-09-04,2.27,A
Geneva Lake,423525088260400,2023-09-05,2.26,A
Geneva Lake,423525088260400,2023-09-06,2.26,A
Geneva Lake,423525088260400,2023-09-07,2.24,A
Geneva Lake,423525088260400,2023-09-08,2.23,A
Geneva Lake,423525088260400,2023-09-09,2.21,A
Geneva Lake,423525088260400,2023-09-10,2.21,A
Geneva Lake,423525088260400,2023-09-11,2.22,A
Geneva Lake,423525088260400,2023-09-12,2.21,A
Geneva Lake,423525088260400,2023-09-13,2.21,A
Geneva Lake,423525088260400,2023-09-14,2.21,A
Geneva Lake,423525088260400,2023-09-15,2.20,A
Geneva Lake,423525088260400,2023-09-16,2.20,A
Geneva Lake,423525088260400,2023-09-17,2.25,A
Geneva Lake,423525088260400,2023-09-18,2.26,A
Geneva Lake,423525088260400,2023-09-19,2.27,A
Geneva Lake,423525088260400,2023-09-20,2.30,A
Geneva Lake,423525088260400,2023-09-21,2.31,A
Geneva Lake,423525088260400,2023-09-22,2.31,A
Geneva Lake,423525088260400,2023-09-23,2.30,A
Geneva Lake,423525088260400,2023-09-24,2.29,A
Geneva Lake,423525088260400,2023-09-25,2.31,A
Geneva Lake,423525088260400,2023-09-26,2.37,A
Geneva Lake,423525088260400,2023-09-27,2.43,A
Geneva Lake,423525088260400,2023-09-28,2.44,A
Geneva Lake,423525088260400,2023-09-29,2.44,A
Geneva Lake,423525088260400,2023-09-30,2.44,A
Geneva Lake,423525088260400,2023-10-01,2.44,A
Geneva Lake,423525088260400,2023-10-02,2.44,A
Geneva Lake,423525088260400,2023-10-03,2.44,A
Geneva Lake,423525088260400,2023-10-04,2.43,A;e
Geneva Lake,423525088260400,2023-10-05,2.41,A;e
Geneva Lake,423525088260400,2023-10-06,2.41,A
Geneva Lake,423525088260400,2023-10-07,2.37,A
Geneva Lake,423525088260400,2023-10-08,2.34,A
Geneva Lake,423525088260400,2023-10-09,2.33,A
Geneva Lake,423525088260400,2023-10-10,2.31,A
Geneva Lake,423525088260400,2023-10-11,2.29,A
Geneva Lake,423525088260400,2023-10-12,2.28,A
Geneva Lake,423525088260400,2023-10-13,2.29,A
Geneva Lake,423525088260400,2023-10-14,2.47,A
Geneva Lake,423525088260400,2023-10-15,2.48,A
Geneva Lake,423525088260400,2023-10-16,2.47,A
Geneva Lake,423525088260400,2023-10-17,2.46,A
Geneva Lake,423525088260400,2023-10-18,2.46,A
Geneva Lake,423525088260400,2023-10-19,2.46,A
Geneva Lake,423525088260400,2023-10-20,2.46,A
Geneva Lake,423525088260400,2023-10-21,2.45,A
Geneva Lake,423525088260400,2023-10-22,2.43,A
Geneva Lake,423525088260400,2023-10-23,2.42,A
Geneva Lake,423525088260400,2023-10-24,2.43,A
Geneva Lake,423525088260400,2023-10-25,2.43,A
Geneva Lake,423525088260400,2023-10-26,2.46,A
Geneva Lake,423525088260400,2023-10-27,2.49,A
Geneva Lake,423525088260400,2023-10-28,2.46,A
Geneva Lake,423525088260400,2023-10-29,2.45,A
Geneva Lake,423525088260400,2023-10-30,2.43,A
Geneva Lake,423525088260400,2023-10-31,2.42,A
Geneva Lake,423525088260400,2023-11-01,2.41,A
Geneva Lake,423525088260400,2023-11-02,2.40,A
Geneva Lake,423525088260400,2023-11-03,2.39,A
Geneva Lake,423525088260400,2023-11-04,2.38,A
Geneva Lake,423525088260400,2023-11-05,2.38,A
Geneva Lake,423525088260400,2023-11-06,2.39,A
Geneva Lake,423525088260400,2023-11-07,2.36,A
Geneva Lake,423525088260400,2023-11-08,2.39,A
Geneva Lake,423525088260400,2023-11-09,2.41,A
Geneva Lake,423525088260400,2023-11-10,2.39,A
Geneva Lake,423525088260400,2023-11-11,2.38,A
Geneva Lake,423525088260400,2023-11-12,2.39,A
Geneva Lake,423525088260400,2023-11-13,2.37,A
Geneva Lake,423525088260400,2023-11-14,2.37,A
Geneva Lake,423525088260400,2023-11-15,2.37,A
Geneva Lake,423525088260400,2023-11-16,2.38,A
Geneva Lake,423525088260400,2023-11-17,2.36,A
Geneva Lake,423525088260400,2023-11-18,2.37,A
Geneva Lake,423525088260400,2023-11-19,2.35,A
Geneva Lake,423525088260400,2023-11-20,2.34,A
Geneva Lake,423525088260400,2023-11-21,2.39,A
Geneva Lake,423525088260400,2023-11-22,2.40,A
Geneva Lake,423525088260400,2023-11-23,2.39,A
Geneva Lake,423525088260400,2023-11-24,2.38,A
Geneva Lake,423525088260400,2023-11-25,2.37,A
Geneva Lake,423525088260400,2023-11-26,2.39,A
Geneva Lake,423525088260400,2023-11-27,2.39,A
Geneva Lake,423525088260400,2023-11-28,2.37,A
Geneva Lake,423525088260400,2023-11-29,2.36,A
Geneva Lake,423525088260400,2023-11-30,2.35,A
Geneva Lake,423525088260400,2023-12-01,2.35,A
Geneva Lake,423525088260400,2023-12-02,2.37,A
Geneva Lake,423525088260400,2023-12-03,2.40,A
Geneva Lake,423525088260400,2023-12-04,2.41,A
Geneva Lake,423525088260400,2023-12-05,2.41,A
Geneva Lake,423525088260400,2023-12-06,2.42,A
Geneva Lake,423525088260400,2023-12-07,2.41,A
Geneva Lake,423525088260400,2023-12-08,2.41,A
Geneva Lake,423525088260400,2023-12-09,2.46,A
Geneva Lake,423525088260400,2023-12-10,2.45,A
Geneva Lake,423525088260400,2023-12-11,2.44,A
Geneva Lake,423525088260400,2023-12-12,2.44,A
Geneva Lake,423525088260400,2023-12-13,2.43,A
Geneva Lake,423525088260400,2023-12-14,2.42,A
Geneva Lake,423525088260400,2023-12-15,2.41,A
Geneva Lake,423525088260400,2023-12-16,2.41,A
Geneva Lake,423525088260400,2023-12-17,2.44,A
Geneva Lake,423525088260400,2023-12-18,2.43,A
Geneva Lake,423525088260400,2023-12-19,2.42,A
Geneva Lake,423525088260400,2023-12-20,2.40,A
Geneva Lake,423525088260400,2023-12-21,2.40,A
Geneva Lake,423525088260400,2023-12-22,2.42,A
Geneva Lake,423525088260400,2023-12-23,2.45,A
Geneva Lake,423525088260400,2023-12-24,2.45,A
Geneva Lake,423525088260400,2023-12-25,2.46,A
Geneva Lake,423525088260400,2023-12-26,2.50,A
Geneva Lake,423525088260400,2023-12-27,2.48,A
Geneva Lake,423525088260400,2023-12-28,2.50,A
Geneva Lake,423525088260400,2023-12-29,2.51,A
Geneva Lake,423525088260400,2023-12-30,2.50,A
Geneva Lake,423525088260400,2023-12-31,2.50,A
Delavan Lake,423706088363400,2009-01-01,5.05,A
Delavan Lake,423706088363400,2009-01-02,5.03,A
Delavan Lake,423706088363400,2009-01-03,5.04,A
Delavan Lake,423706088363400,2009-01-04,5.06,A
Delavan Lake,423706088363400,2009-01-05,5.05,A
Delavan Lake,423706088363400,2009-01-06,5.03,A
Delavan Lake,423706088363400,2009-01-07,5.01,A
Delavan Lake,423706088363400,2009-01-08,4.98,A
Delavan Lake,423706088363400,2009-01-09,5.01,A
Delavan Lake,423706088363400,2009-01-10,5.05,A
Delavan Lake,423706088363400,2009-01-11,5.04,A
Delavan Lake,423706088363400,2009-01-12,5.02,A
Delavan Lake,423706088363400,2009-01-13,5.01,A
Delavan Lake,423706088363400,2009-01-14,4.99,A
Delavan Lake,423706088363400,2009-01-15,4.98,A
Delavan Lake,423706088363400,2009-01-16,4.96,A
Delavan Lake,423706088363400,2009-01-17,4.95,A
Delavan Lake,423706088363400,2009-01-18,4.95,A
Delavan Lake,423706088363400,2009-01-19,4.96,A
Delavan Lake,423706088363400,2009-01-20,4.97,A
Delavan Lake,423706088363400,2009-01-21,4.98,A
Delavan Lake,423706088363400,2009-01-22,4.98,A
Delavan Lake,423706088363400,2009-01-23,4.98,A
Delavan Lake,423706088363400,2009-01-24,4.99,A
Delavan Lake,423706088363400,2009-01-25,4.99,A
Delavan Lake,423706088363400,2009-01-26,4.99,A
Delavan Lake,423706088363400,2009-01-27,4.99,A
Delavan Lake,423706088363400,2009-01-28,5.00,A
Delavan Lake,423706088363400,2009-01-29,5.00,A
Delavan Lake,423706088363400,2009-01-30,5.00,A
Delavan Lake,423706088363400,2009-01-31,5.00,A
Delavan Lake,423706088363400,2009-02-01,5.00,A
Delavan Lake,423706088363400,2009-02-02,5.01,A
Delavan Lake,423706088363400,2009-02-03,5.00,A
Delavan Lake,423706088363400,2009-02-04,5.00,A
Delavan Lake,423706088363400,2009-02-05,5.00,A
Delavan Lake,423706088363400,2009-02-06,5.00,A
Delavan Lake,423706088363400,2009-02-07,5.01,A
Delavan Lake,423706088363400,2009-02-08,5.08,A
Delavan Lake,423706088363400,2009-02-09,5.07,A
Delavan Lake,423706088363400,2009-02-10,5.08,A
Delavan Lake,423706088363400,2009-02-11,5.12,A
Delavan Lake,423706088363400,2009-02-12,5.12,A
Delavan Lake,423706088363400,2009-02-13,5.05,A
Delavan Lake,423706088363400,2009-02-14,5.00,A
Delavan Lake,423706088363400,2009-02-15,5.01,A
Delavan Lake,423706088363400,2009-02-16,5.01,A
Delavan Lake,423706088363400,2009-02-17,5.02,A
Delavan Lake,423706088363400,2009-02-18,5.04,A
Delavan Lake,423706088363400,2009-02-19,5.04,A
Delavan Lake,423706088363400,2009-02-20,5.04,A
Delavan Lake,423706088363400,2009-02-21,5.05,A
Delavan Lake,423706088363400,2009-02-22,5.06,A
Delavan Lake,423706088363400,2009-02-23,5.05,A
Delavan Lake,423706088363400,2009-02-24,5.05,A
Delavan Lake,423706088363400,2009-02-25,5.04,A
Delavan Lake,423706088363400,2009-02-26,5.05,A
Delavan Lake,423706088363400,2009-02-27,5.18,A
Delavan Lake,423706088363400,2009-02-28,5.13,A
Delavan Lake,423706088363400,2009-03-01,5.05,A
Delavan Lake,423706088363400,2009-03-02,5.02,A
Delavan Lake,423706088363400,2009-03-03,5.01,A
Delavan Lake,423706088363400,2009-03-04,5.00,A
Delavan Lake,423706088363400,2009-03-05,5.01,A
Delavan Lake,423706088363400,2009-03-06,5.02,A
Delavan Lake,423706088363400,2009-03-07,5.05,A
Delavan Lake,423706088363400,2009-03-08,5.15,A
Delavan Lake,423706088363400,2009-03-09,5.22,A
Delavan Lake,423706088363400,2009-03-10,5.21,A
Delavan Lake,423706088363400,2009-03-11,5.15,A
Delavan Lake,423706088363400,2009-03-12,5.04,A
Delavan Lake,423706088363400,2009-03-13,5.01,A
Delavan Lake,423706088363400,2009-03-14,4.99,A
Delavan Lake,423706088363400,2009-03-15,5.01,A
Delavan Lake,423706088363400,2009-03-16,5.02,A
Delavan Lake,423706088363400,2009-03-17,5.03,A
Delavan Lake,423706088363400,2009-03-18,5.03,A
Delavan Lake,423706088363400,2009-03-19,5.02,A
Delavan Lake,423706088363400,2009-03-20,4.99,A;e
Delavan Lake,423706088363400,2009-03-21,4.99,A;e
Delavan Lake,423706088363400,2009-03-22,5.00,A;e
Delavan Lake,423706088363400,2009-03-23,5.00,A;e
Delavan Lake,423706088363400,2009-03-24,5.05,A
Delavan Lake,423706088363400,2009-03-25,5.24,A
Delavan Lake,423706088363400,2009-03-26,5.20,A
Delavan Lake,423706088363400,2009-03-27,5.08,A
Delavan Lake,423706088363400,2009-03-28,4.98,A
Delavan Lake,423706088363400,2009-03-29,5.03,A
Delavan Lake,423706088363400,2009-03-30,5.06,A
Delavan Lake,423706088363400,2009-03-31,5.09,A
Delavan Lake,423706088363400,2009-04-01,5.13,A
Delavan Lake,423706088363400,2009-04-02,5.08,A
Delavan Lake,423706088363400,2009-04-03,5.03,A
Delavan Lake,423706088363400,2009-04-04,5.03,A
Delavan Lake,423706088363400,2009-04-05,5.00,A
Delavan Lake,423706088363400,2009-04-06,4.98,A
Delavan Lake,423706088363400,2009-04-07,4.97,A
Delavan Lake,423706088363400,2009-04-08,4.96,A
Delavan Lake,423706088363400,2009-04-09,4.97,A
Delavan Lake,423706088363400,2009-04-10,4.97,A
Delavan Lake,423706088363400,2009-04-11,4.97,A
Delavan Lake,423706088363400,2009-04-12,4.97,A
Delavan Lake,423706088363400,2009-04-13,4.97,A
Delavan Lake,423706088363400,2009-04-14,5.00,A
Delavan Lake,423706088363400,2009-04-15,5.01,A
Delavan Lake,423706088363400,2009-04-16,5.01,A
Delavan Lake,423706088363400,2009-04-17,5.02,A
Delavan Lake,423706088363400,2009-04-18,5.02,A
Delavan Lake,423706088363400,2009-04-19,5.04,A
Delavan Lake,423706088363400,2009-04-20,5.13,A
Delavan Lake,423706088363400,2009-04-21,5.15,A
Delavan Lake,423706088363400,2009-04-22,5.13,A
Delavan Lake,423706088363400,2009-04-23,5.08,A
Delavan Lake,423706088363400,2009-04-24,5.02,A
Delavan Lake,423706088363400,2009-04-25,4.98,A
Delavan Lake,423706088363400,2009-04-26,5.17,A
Delavan Lake,423706088363400,2009-04-27,5.58,A
Delavan Lake,423706088363400,2009-04-28,5.51,A
Delavan Lake,423706088363400,2009-04-29,5.37,A
Delavan Lake,423706088363400,2009-04-30,5.26,A
Delavan Lake,423706088363400,2009-05-01,5.17,A
Delavan Lake,423706088363400,2009-05-02,5.05,A
Delavan Lake,423706088363400,2009-05-03,4.97,A
Delavan Lake,423706088363400,2009-05-04,5.00,A
Delavan Lake,423706088363400,2009-05-05,5.03,A
Delavan Lake,423706088363400,2009-05-06,5.04,A
Delavan Lake,423706088363400,2009-05-07,5.05,A
Delavan Lake,423706088363400,2009-05-08,5.02,A
Delavan Lake,423706088363400,2009-05-09,5.01,A
Delavan Lake,423706088363400,2009-05-10,4.98,A
Delavan Lake,423706088363400,2009-05-11,4.99,A
Delavan Lake,423706088363400,2009-05-12,5.00,A
Delavan Lake,423706088363400,2009-05-13,5.02,A
Delavan Lake,423706088363400,2009-05-14,5.09,A
Delavan Lake,423706088363400,2009-05-15,5.05,A
Delavan Lake,423706088363400,2009-05-16,4.97,A
Delavan Lake,423706088363400,2009-05-17,4.94,A
Delavan Lake,423706088363400,2009-05-18,4.94,A
Delavan Lake,423706088363400,2009-05-19,4.95,A
Delavan Lake,423706088363400,2009-05-20,4.97,A
Delavan Lake,423706088363400,2009-05-21,4.98,A
Delavan Lake,423706088363400,2009-05-22,4.99,A
Delavan Lake,423706088363400,2009-05-23,5.00,A
Delavan Lake,423706088363400,2009-05-24,5.00,A
Delavan Lake,423706088363400,2009-05-25,4.99,A
Delavan Lake,423706088363400,2009-05-26,5.00,A
Delavan Lake,423706088363400,2009-05-27,5.09,A
Delavan Lake,423706088363400,2009-05-28,5.09,A
Delavan Lake,423706088363400,2009-05-29,5.05,A
Delavan Lake,423706088363400,2009-05-30,5.02,A
Delavan Lake,423706088363400,2009-05-31,4.99,A
Delavan Lake,423706088363400,2009-06-01,5.01,A
Delavan Lake,423706088363400,2009-06-02,4.99,A
Delavan Lake,423706088363400,2009-06-03,4.98,A
Delavan Lake,423706088363400,2009-06-04,4.97,A
Delavan Lake,423706088363400,2009-06-05,4.97,A
Delavan Lake,423706088363400,2009-06-06,4.97,A
Delavan Lake,423706088363400,2009-06-07,4.98,A
Delavan Lake,423706088363400,2009-06-08,5.10,A
Delavan Lake,423706088363400,2009-06-09,5.13,A
Delavan Lake,423706088363400,2009-06-10,5.03,A
Delavan Lake,423706088363400,2009-06-11,4.96,A
Delavan Lake,423706088363400,2009-06-12,4.96,A
Delavan Lake,423706088363400,2009-06-13,5.00,A
Delavan Lake,423706088363400,2009-06-14,5.00,A
Delavan Lake,423706088363400,2009-06-15,5.00,A
Delavan Lake,423706088363400,2009-06-16,4.98,A
Delavan Lake,423706088363400,2009-06-17,4.96,A
Delavan Lake,423706088363400,2009-06-18,4.95,A
Delavan Lake,423706088363400,2009-06-19,5.13,A
Delavan Lake,423706088363400,2009-06-20,5.40,A
Delavan Lake,423706088363400,2009-06-21,5.39,A
Delavan Lake,423706088363400,2009-06-22,5.28,A
Delavan Lake,423706088363400,2009-06-23,5.18,A
Delavan Lake,423706088363400,2009-06-24,5.10,A
Delavan Lake,423706088363400,2009-06-25,5.04,A
Delavan Lake,423706088363400,2009-06-26,5.00,A
Delavan Lake,423706088363400,2009-06-27,4.99,A
Delavan Lake,423706088363400,2009-06-28,4.98,A
Delavan Lake,423706088363400,2009-06-29,4.96,A
Delavan Lake,423706088363400,2009-06-30,4.96,A
Delavan Lake,423706088363400,2009-07-01,4.96,A
Delavan Lake,423706088363400,2009-07-02,4.97,A
Delavan Lake,423706088363400,2009-07-03,4.97,A
Delavan Lake,423706088363400,2009-07-04,4.99,A
Delavan Lake,423706088363400,2009-07-05,4.99,A
Delavan Lake,423706088363400,2009-07-06,5.00,A
Delavan Lake,423706088363400,2009-07-07,5.00,A
Delavan Lake,423706088363400,2009-07-08,5.00,A
Delavan Lake,423706088363400,2009-07-09,5.01,A
Delavan Lake,423706088363400,2009-07-10,5.01,A;e
Delavan Lake,423706088363400,2009-07-11,5.04,A
Delavan Lake,423706088363400,2009-07-12,5.03,A
Delavan Lake,423706088363400,2009-07-13,5.01,A
Delavan Lake,423706088363400,2009-07-14,4.98,A
Delavan Lake,423706088363400,2009-07-15,5.01,A
Delavan Lake,423706088363400,2009-07-16,5.00,A
Delavan Lake,423706088363400,2009-07-17,4.99,A
Delavan Lake,423706088363400,2009-07-18,4.99,A
Delavan Lake,423706088363400,2009-07-19,4.98,A
Delavan Lake,423706088363400,2009-07-20,4.98,A
Delavan Lake,423706088363400,2009-07-21,4.98,A
Delavan Lake,423706088363400,2009-07-22,5.04,A
Delavan Lake,423706088363400,2009-07-23,5.19,A
Delavan Lake,423706088363400,2009-07-24,5.17,A
Delavan Lake,423706088363400,2009-07-25,5.08,A
Delavan Lake,423706088363400,2009-07-26,5.01,A
Delavan Lake,423706088363400,2009-07-27,5.01,A
Delavan Lake,423706088363400,2009-07-28,4.99,A
Delavan Lake,423706088363400,2009-07-29,4.97,A
Delavan Lake,423706088363400,2009-07-30,4.98,A
Delavan Lake,423706088363400,2009-07-31,5.00,A
Delavan Lake,423706088363400,2009-08-01,5.00,A
Delavan Lake,423706088363400,2009-08-02,5.00,A
Delavan Lake,423706088363400,2009-08-03,5.00,A
Delavan Lake,423706088363400,2009-08-04,5.00,A
Delavan Lake,423706088363400,2009-08-05,5.01,A
Delavan Lake,423706088363400,2009-08-06,5.00,A
Delavan Lake,423706088363400,2009-08-07,5.02,A
Delavan Lake,423706088363400,2009-08-08,5.09,A
Delavan Lake,423706088363400,2009-08-09,5.11,A
Delavan Lake,423706088363400,2009-08-10,5.06,A
Delavan Lake,423706088363400,2009-08-11,4.99,A
Delavan Lake,423706088363400,2009-08-12,4.99,A
Delavan Lake,423706088363400,2009-08-13,4.99,A
Delavan Lake,423706088363400,2009-08-14,4.99,A
Delavan Lake,423706088363400,2009-08-15,4.99,A
Delavan Lake,423706088363400,2009-08-16,4.99,A
Delavan Lake,423706088363400,2009-08-17,5.01,A
Delavan Lake,423706088363400,2009-08-18,5.02,A
Delavan Lake,423706088363400,2009-08-19,5.01,A
Delavan Lake,423706088363400,2009-08-20,5.02,A
Delavan Lake,423706088363400,2009-08-21,5.02,A
Delavan Lake,423706088363400,2009-08-22,5.01,A
Delavan Lake,423706088363400,2009-08-23,5.00,A
Delavan Lake,423706088363400,2009-08-24,5.01,A
Delavan Lake,423706088363400,2009-08-25,5.01,A
Delavan Lake,423706088363400,2009-08-26,5.05,A
Delavan Lake,423706088363400,2009-08-27,5.10,A
Delavan Lake,423706088363400,2009-08-28,5.12,A
Delavan Lake,423706088363400,2009-08-29,5.09,A
Delavan Lake,423706088363400,2009-08-30,5.04,A
Delavan Lake,423706088363400,2009-08-31,5.03,A
Delavan Lake,423706088363400,2009-09-01,5.03,A
Delavan Lake,423706088363400,2009-09-02,5.03,A
Delavan Lake,423706088363400,2009-09-03,5.02,A
Delavan Lake,423706088363400,2009-09-04,5.00,A
Delavan Lake,423706088363400,2009-09-05,4.99,A
Delavan Lake,423706088363400,2009-09-06,4.98,A
Delavan Lake,423706088363400,2009-09-07,4.98,A
Delavan Lake,423706088363400,2009-09-08,4.99,A
Delavan Lake,423706088363400,2009-09-09,4.99,A
Delavan Lake,423706088363400,2009-09-10,4.99,A
Delavan Lake,423706088363400,2009-09-11,4.99,A
Delavan Lake,423706088363400,2009-09-12,4.99,A
Delavan Lake,423706088363400,2009-09-13,4.99,A
Delavan Lake,423706088363400,2009-09-14,5.00,A
Delavan Lake,423706088363400,2009-09-15,5.00,A
Delavan Lake,423706088363400,2009-09-16,4.98,A
Delavan Lake,423706088363400,2009-09-17,4.97,A
Delavan Lake,423706088363400,2009-09-18,4.97,A
Delavan Lake,423706088363400,2009-09-19,4.97,A
Delavan Lake,423706088363400,2009-09-20,4.98,A
Delavan Lake,423706088363400,2009-09-21,5.01,A
Delavan Lake,423706088363400,2009-09-22,5.02,A
Delavan Lake,423706088363400,2009-09-23,5.01,A
Delavan Lake,423706088363400,2009-09-24,4.97,A
Delavan Lake,423706088363400,2009-09-25,4.96,A
Delavan Lake,423706088363400,2009-09-26,4.98,A
Delavan Lake,423706088363400,2009-09-27,4.98,A
Delavan Lake,423706088363400,2009-09-28,4.96,A
Delavan Lake,423706088363400,2009-09-29,4.93,A
Delavan Lake,423706088363400,2009-09-30,4.92,A
Delavan Lake,423706088363400,2009-10-01,4.94,A
Delavan Lake,423706088363400,2009-10-02,5.03,A
Delavan Lake,423706088363400,2009-10-03,5.03,A
Delavan Lake,423706088363400,2009-10-04,5.00,A
Delavan Lake,423706088363400,2009-10-05,4.98,A
Delavan Lake,423706088363400,2009-10-06,4.99,A
Delavan Lake,423706088363400,2009-10-07,4.98,A
Delavan Lake,423706088363400,2009-10-08,4.98,A
Delavan Lake,423706088363400,2009-10-09,5.00,A
Delavan Lake,423706088363400,2009-10-10,5.00,A
Delavan Lake,423706088363400,2009-10-11,4.99,A
Delavan Lake,423706088363400,2009-10-12,4.98,A
Delavan Lake,423706088363400,2009-10-13,4.97,A
Delavan Lake,423706088363400,2009-10-14,4.97,A
Delavan Lake,423706088363400,2009-10-15,4.98,A
Delavan Lake,423706088363400,2009-10-16,5.00,A
Delavan Lake,423706088363400,2009-10-17,5.01,A
Delavan Lake,423706088363400,2009-10-18,5.00,A
Delavan Lake,423706088363400,2009-10-19,5.00,A
Delavan Lake,423706088363400,2009-10-20,5.01,A
Delavan Lake,423706088363400,2009-10-21,5.01,A
Delavan Lake,423706088363400,2009-10-22,5.04,A
Delavan Lake,423706088363400,2009-10-23,5.17,A
Delavan Lake,423706088363400,2009-10-24,5.13,A
Delavan Lake,423706088363400,2009-10-25,5.05,A
Delavan Lake,423706088363400,2009-10-26,5.08,A
Delavan Lake,423706088363400,2009-10-27,5.05,A
Delavan Lake,423706088363400,2009-10-28,5.00,A
Delavan Lake,423706088363400,2009-10-29,4.99,A
Delavan Lake,423706088363400,2009-10-30,5.08,A
Delavan Lake,423706088363400,2009-10-31,5.13,A
Delavan Lake,423706088363400,2009-11-01,5.11,A
Delavan Lake,423706088363400,2009-11-02,5.07,A
Delavan Lake,423706088363400,2009-11-03,5.03,A
Delavan Lake,423706088363400,2009-11-04,5.01,A
Delavan Lake,423706088363400,2009-11-05,5.03,A
