source_url,source_file,retrieval_date,waterbody,location,year,angler_hours,angler_hours_sd
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Racine Co.,2024,71279,5455
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2013,290544,11332
https://dnr.wisconsin.gov/sites/default/files/topic/LM_LakeMichiganSportHarvestReport2022.pdf,LakeMichigan_SportHarvest_2022.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2014,255140,10894
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2015,267451,10279
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2016,295517,12743
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2017,267191,14736
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2018,233031,13192
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2019,180123,8028
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2020,179950,10877
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan/Green Bay (WI waters),Milwaukee Co.,2021,217505,8552
