date,depth_ft,temperature_c,station_id,station_name,lake_name,creel_year,in_creel_window
2003-08-19,3.0,25.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2003-10-06,3.0,11.11,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2004-05-19,3.0,13.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2004-06-22,3.0,17.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2004-07-20,3.0,25.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2004-08-25,3.0,18.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2004-10-12,3.0,13.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2005-05-23,3.0,12.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2005-06-21,3.0,22.22,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2005-07-19,3.0,23.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2005-08-29,3.0,16.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2005-09-26,3.0,12.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2006-05-02,3.0,10.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2006-06-26,3.0,21.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2006-07-17,3.0,25.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2006-08-21,3.0,22.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2006-09-25,3.0,10.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-04-30,3.0,12.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-06-05,3.0,18.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-07-16,3.0,22.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-08-10,3.0,24.94,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-08-16,3.0,23.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-09-17,3.0,16.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2007-10-01,3.0,16.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-05-19,3.0,12.17,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-06-02,3.0,17.11,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-06-17,3.0,18.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-07-14,3.0,20.72,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-08-11,3.0,23.22,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-09-04,3.0,20.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-09-15,3.0,17.72,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2008-09-29,3.0,17.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-05-17,3.0,14.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-06-01,3.0,16.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-06-11,3.0,18.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-07-06,3.0,21.61,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-07-23,3.0,22.28,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-08-22,3.0,22.44,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-09-14,3.0,23.39,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2009-10-09,3.0,14.22,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2010-04-12,3.0,10.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2010-05-04,3.0,13.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2010-06-14,3.0,18.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2010-07-28,3.0,24.44,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2010-08-24,3.0,23.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2010-09-26,3.0,16.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-01-13,2.0,0.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-02-10,2.0,0.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-03-02,2.0,0.61,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-05-16,3.0,11.06,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-06-06,3.0,18.11,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-06-09,1.0,20.06,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-07-29,3.0,26.81,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-08-11,1.0,23.83,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-08-15,3.0,23.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-08-30,1.0,23.17,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2011-09-12,3.0,22.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-05-07,3.0,13.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-05-21,3.0,12.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-07-09,3.0,27.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-08-07,3.0,24.17,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-08-27,3.0,22.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-09-04,3.0,22.28,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2012-09-29,3.0,15.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-05-16,3.0,9.61,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-06-03,3.0,15.94,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-06-19,3.0,18.83,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-07-09,3.0,24.83,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-07-29,3.0,19.39,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-08-15,3.0,20.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-09-10,3.0,21.39,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2013-09-25,3.0,16.72,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-05-11,3.0,9.83,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-06-05,3.0,19.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-06-17,3.0,18.28,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-07-23,3.0,22.61,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-07-31,3.0,22.78,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-08-14,3.0,22.94,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-08-27,3.0,21.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2014-09-23,3.0,16.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2016-05-08,3.0,14.06,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2016-08-14,3.0,24.22,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2017-05-25,3.0,13.17,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2017-06-20,3.0,20.67,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2017-07-11,3.0,23.94,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2017-08-13,3.0,22.11,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2018-05-31,3.0,21.83,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2018-06-25,3.0,22.72,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2018-07-23,3.0,23.28,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2018-08-20,3.0,24.11,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2019-05-28,3.0,12.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2019-06-18,3.0,18.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2019-07-16,3.0,24.44,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2019-08-12,3.0,24.0,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2020-06-23,3.0,20.5,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2020-07-28,3.0,23.33,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2020-08-27,3.0,23.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2021-05-16,3.0,13.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2021-06-22,3.0,20.28,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2021-08-31,3.0,22.61,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2022-07-17,3.0,25.11,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2022-09-01,3.0,22.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2023-05-15,3.0,15.28,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,True
2023-06-05,3.0,23.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,True
2023-06-27,3.0,22.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,True
2023-07-24,3.0,22.94,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,True
2023-08-20,3.0,22.89,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,True
2024-05-13,3.0,14.56,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
2024-06-14,3.0,20.61,583047,Sand Lake - Deep Hole,Sand Lake,2023-24,False
