source_url,source_file,retrieval_date,waterbody,fishery_type,year,species,period,harvest,angler_hours_period,season_harvest_rate_fish_per_hour
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Coho Salmon,Sept/Oct,4983,323107,0.0924
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Yellow Perch,March/April,16956,373872,0.0859
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Yellow Perch,May,2785,302166,0.0859
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Yellow Perch,June,24975,322287,0.0859
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Yellow Perch,July,53094,575201,0.0859
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Yellow Perch,August,33436,384304,0.0859
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Yellow Perch,Sept/Oct,64610,323107,0.0859
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Walleye,March/April,18248,373872,0.0297
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Walleye,May,8319,302166,0.0297
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Walleye,June,793,322287,0.0297
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Walleye,July,14022,575201,0.0297
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Walleye,August,20028,384304,0.0297
https://dnr.wisconsin.gov/sites/default/files/topic/Fishing/LM_LakeMichiganSportHarvestReport2024.pdf,LakeMichigan_SportHarvest_2024.pdf,2026-09-08,Lake Michigan+Green Bay (WI waters combined),all fishery types,2024,Walleye,Sept/Oct,6305,323107,0.0297
